time,open,high,low,close,"BTCUSD, BITSTAMP: Open","BTCUSD, BITSTAMP: High","BTCUSD, BITSTAMP: Low","BTCUSD, BITSTAMP: Close",Basis,Upper,Lower,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,Volume,Volume MA,EMA,EMA,EMA2,EMA3,Histogram,MACD,Signal,MF,K,D,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Detrended Price Oscillator
1428883200,236.42,236.9,219.64,223.15,236.42,236.9,219.64,223.15,246.44650000000033,263.42508919343277,229.4679108065679,13895,7439.150000000018,13895,7439.150000000018,13895,7439.150000000018,13895,7439.150000000018,13895,7439.150000000018,238.37409855348213,242.63592836956164,247.1212683853776,254.77011080509806,-2.2064067969126704,-7.08487478542807,-4.8784679885154,27.10716855760502,1.386181833050462,2.983223728334387,30.43297545022891,42.86576429943268,NaN,NaN,-37.52238095238104
1428969600,222.97,224.79,210,215.8,222.97,224.79,210,215.8,244.88950000000037,266.4850638731488,223.2939361268519,18602,7727.350000000018,18602,7727.350000000018,18602,7727.350000000018,18602,7727.350000000018,18602,7727.350000000018,233.35763220826388,238.8022243167671,244.27388035034326,253.37832113348742,-3.0117395770956223,-8.643142459884928,-5.631402882789305,25.022196267562734,1.0665764513865923,1.2796467058291716,27.417845342237882,41.89972931099823,NaN,NaN,-43.488571428571504
1429056000,215.78,222.88,214.05,222.88,215.78,222.88,214.05,222.88,243.57200000000034,267.07818607939896,220.06581392060173,9946,7807.0500000000175,9946,7807.0500000000175,9946,7807.0500000000175,9946,7807.0500000000175,9946,7807.0500000000175,231.02926949531636,236.52762084294324,242.3289821366757,252.28909537872002,-2.8554567115593477,-9.20072377223849,-6.345267060679142,26.878542062500983,9.009378999741248,3.8207124280594336,34.18233044450473,41.29009914640324,NaN,NaN,-35.060476190476265
1429142400,222.83,229.67,222.44,227.5,222.83,229.67,222.44,227.5,242.55000000000035,266.96738724760166,218.13261275239904,10844,8047.150000000018,10844,8047.150000000018,10844,8047.150000000018,10844,8047.150000000018,10844,8047.150000000018,230.24498738524605,235.23796072252279,240.98089285152338,251.40377054376575,-2.2551276844799926,-9.164176666279133,-6.90904898179914,26.897467186648896,23.407037215893805,11.160997555673882,38.227996021157146,40.64178203161021,NaN,NaN,-29.19238095238103
1429228800,227.36,228.29,220,222.6,227.36,228.29,220,222.6,241.0365000000004,266.44016294453036,215.6328370554704,7949,8162.500000000017,7949,8162.500000000017,7949,8162.500000000017,7949,8162.500000000017,7949,8162.500000000017,228.5461012996358,233.43253776216238,239.30990259229398,250.37506445291697,-2.010353632931155,-9.421991022963084,-7.411637390031929,21.86611086064731,34.46459334850444,22.293669854713162,35.720157158476525,39.77003637756632,NaN,NaN,-32.4880952380953
1429315200,222.6,224.72,220.32,223.4,222.6,224.72,220.32,223.4,240.10650000000038,266.6378032284371,213.57519677156367,4617,8060.350000000018,4617,8060.350000000018,4617,8060.350000000018,4617,8060.350000000018,4617,8060.350000000018,227.40252323305006,231.99931808185346,237.86354781117635,249.41166929388422,-1.6329233257095428,-9.452791547168857,-7.8198682214593145,21.60732683452005,37.48899773759116,31.786876100663136,36.45313495098572,38.973849390416596,NaN,NaN,-30.3033333333334
1429401600,223.35,227.35,221.91,222.54,223.35,227.35,221.91,222.54,238.83600000000038,266.16484293195253,211.50715706804823,5892,7958.850000000018,5892,7958.850000000018,5892,7958.850000000018,5892,7958.850000000018,5892,7958.850000000018,226.3219625145945,230.64798692730295,236.47049801016033,248.45196681910264,-1.2943477271611883,-9.4378028804108,-8.143455153249612,21.165860813292483,36.366093778334694,36.106561621476764,35.97818439393403,37.7976188211123,NaN,NaN,-30.610476190476277
1429488000,222.54,226.51,221.43,224.3,222.54,226.51,221.43,224.3,237.8390000000004,265.7550891960048,209.922910803996,5961,7852.400000000018,5961,7852.400000000018,5961,7852.400000000018,5961,7852.400000000018,5961,7852.400000000018,225.8726375113513,229.74113165197397,235.36408910014575,247.58939657556326,-0.8277218401218587,-9.178107453401935,-8.350385613280077,26.079814520687677,42.38341621980045,38.74616924524211,37.76526948340323,37.0013429970564,NaN,NaN,-27.975238095238154
1429574400,224.3,236,223.91,235.74,224.3,236,223.91,235.74,237.2915000000004,264.9197849811426,209.6632150188582,9900,8038.950000000017,9900,8038.950000000017,9900,8038.950000000017,9900,8038.950000000017,9900,8038.950000000017,228.065384731051,230.59811284454912,235.39826281831432,247.16620384072172,0.31434371819550044,-7.957455965535701,-8.271799683731201,33.351870398460136,63.68296616430581,47.477492054146985,47.937972431605374,37.02420256282563,NaN,NaN,-15.298571428571478
1429660800,235.71,238.64,229.1,233.45,235.71,238.64,229.1,233.45,236.3000000000004,262.9686115123985,209.63138848760227,10664,8085.350000000018,10664,8085.350000000018,10664,8085.350000000018,10664,8085.350000000018,10664,8085.350000000018,229.26196590192856,231.00552529532783,235.22114801664938,246.6763394178388,0.942959836152669,-7.093099888540365,-8.036059724693034,42.58179650698379,81.09099336994227,62.385791918016174,46.30628259423159,37.338083908251065,NaN,NaN,-16.452857142857198
1429747200,233.25,236.22,232.01,235.98,233.25,236.22,232.01,235.98,235.3895000000004,260.76485928808205,210.01414071191874,8325,8251.050000000017,8325,8251.050000000017,8325,8251.050000000017,8325,8251.050000000017,8325,8251.050000000017,230.75486236816667,231.7161645388524,235.29013456059033,246.29432729577312,1.522254639811889,-6.133241424928173,-7.655496064740062,49.38341096955488,97.34944812919922,80.70780255448243,48.396108567124905,37.86134932641876,NaN,NaN,-12.435238095238162
1429833600,235.61,236,228,230.24,235.61,236,228,230.24,234.2165000000004,258.23011553367655,210.20288446632424,8488,8538.650000000018,8488,8538.650000000018,8488,8538.650000000018,8488,8538.650000000018,8488,8538.650000000018,230.64044850857408,231.50528389044493,234.83103141871848,245.72095846378122,1.5090266023180323,-5.769212811842522,-7.278239414160554,50.75057385624592,90.67169853985233,89.7040466796646,44.19348090806889,38.38486741323078,NaN,NaN,-16.137619047619097
1429920000,231.04,232.29,225.7,226.12,231.04,232.29,225.7,226.12,232.4955000000004,253.45574090985676,211.53525909014402,5264,8515.100000000017,5264,8515.100000000017,5264,8515.100000000017,5264,8515.100000000017,5264,8515.100000000017,229.63590439555762,230.73595762038136,234.03911947156226,245.0209242329319,1.2250554011613657,-5.746920162708847,-6.971975563870212,50.29533592908292,82.22744538380876,90.08286401762011,41.413616358666694,38.69915268121326,NaN,NaN,-18.86714285714288
1430006400,226.12,227.26,214.98,219.52,226.12,227.26,214.98,219.52,230.69250000000042,249.4920307122071,211.89296928779373,11235,8781.200000000017,11235,8781.200000000017,11235,8781.200000000017,11235,8781.200000000017,11235,8781.200000000017,227.38792564098927,229.13367796032688,232.71919951960206,244.1101769388986,0.625213914462071,-6.190458170792624,-6.815672085254695,47.32091193322884,64.69084485075487,79.19666292480532,37.359485905561954,38.69891714358481,NaN,NaN,-24.321428571428612
1430092800,219.52,229.93,217.52,227.23,219.52,229.93,217.52,227.23,229.3680000000004,244.94842951908709,213.7875704809137,13790,9172.400000000018,13790,9172.400000000018,13790,9172.400000000018,13790,9172.400000000018,13790,9172.400000000018,227.35283105410275,228.86172396599446,232.22018138145643,243.50731347679508,0.770641514384776,-5.852370192273725,-6.623011706658501,57.863728486523655,64.74576350735582,70.55468458063983,44.22804384909284,39.68427917207509,NaN,NaN,-15.57666666666671
1430179200,227.17,227.56,221.45,225.16,227.17,227.56,221.45,225.16,228.3840000000004,242.33181904095343,214.4361809590474,9328,9058.300000000017,9328,9058.300000000017,9328,9058.300000000017,9328,9058.300000000017,9328,9058.300000000017,226.86553526430214,228.33290625656667,231.57834671041493,242.85205228119526,0.7496725844121999,-5.685920976143251,-6.435593560555451,61.91354336985591,62.8785641745649,64.10505751089187,42.86893694735618,40.78792857244067,NaN,NaN,-16.440000000000026
1430265600,225.18,226.99,221.81,225.48,225.18,226.99,221.81,225.48,227.48650000000043,239.64091693373726,215.3320830662636,8636,9097.350000000017,8636,9097.350000000017,8636,9097.350000000017,8636,9097.350000000017,8636,9097.350000000017,226.55763853890167,227.9253482199143,231.02395155492266,242.23162184258115,0.7763243201575545,-5.465188160358508,-6.241512480516063,61.57147848862353,66.64530101788914,64.75654289993662,43.15972487608317,41.42917103183914,NaN,NaN,-14.716666666666725
1430352000,225.5,240,224.6,236.2,225.5,240,224.6,236.2,227.49700000000047,239.68110948732294,215.312890512678,12463,9144.450000000017,12463,9144.450000000017,12463,9144.450000000017,12463,9144.450000000017,12463,9144.450000000017,228.70038553025685,229.10744133135512,231.49450141356604,242.01620677677468,1.4933609421254674,-4.374811302859229,-5.868172244984696,62.197970782262054,73.26813195063511,67.59733238102972,51.97783116935512,42.411302113853274,NaN,NaN,-3.07000000000005
1430438400,236.47,239.23,230.51,231,236.47,239.23,230.51,231,227.2395000000005,238.88710142686116,215.59189857313984,6632,9274.950000000017,6632,9274.950000000017,6632,9274.950000000017,6632,9274.950000000017,6632,9274.950000000017,229.21141096797754,229.37780685544723,231.4495467396055,241.6227708204613,1.5861483115892305,-3.885486855498158,-5.471635167087388,62.711711956069976,78.11200319118551,72.67514538656992,48.08121329791897,43.294234695242025,NaN,NaN,-7.14380952380958
1430524800,231.05,234.9,229.87,233.83,231.05,234.9,229.87,233.83,227.1060000000005,238.38123374476154,215.83076625523947,4281,9335.600000000017,4281,9335.600000000017,4281,9335.600000000017,4281,9335.600000000017,4281,9335.600000000017,230.23776408620475,230.0138344475262,231.66595158145955,241.3444575768734,1.7916449636788716,-3.2320789624887993,-5.023723926167671,62.78393307702961,88.31629438528819,79.8988098423696,50.26639415488948,44.28089606694943,NaN,NaN,-3.9090476190476693
1430611200,233.83,242.25,232.31,239,233.83,242.25,232.31,239,227.89850000000052,240.1370510171323,215.65994898286874,4339,8857.800000000017,4339,8857.800000000017,4339,8857.800000000017,4339,8857.800000000017,4339,8857.800000000017,232.18492762260368,231.2975723835939,232.33268325587233,241.26072694912793,2.202262948555706,-2.2708952404730383,-4.473158189028744,62.39288402022681,88.31629438528819,84.91486398725395,54.06961649194045,45.57314121680704,NaN,NaN,1.8914285714284915
1430697600,239.73,242.2,236.07,238.34,239.73,242.2,236.07,238.34,229.0255000000005,240.74010024921705,217.31089975078396,7462,8300.800000000017,7462,8300.800000000017,7462,8300.800000000017,7462,8300.800000000017,7462,8300.800000000017,233.55272148424731,232.3036334716519,232.87880295988393,241.15641527237335,2.342845354892944,-1.5446014954125644,-3.8874468503055084,62.997272967616354,95.31227988781541,90.64828955279727,53.50707949564432,46.6975562176814,NaN,NaN,2.0552380952380247
1430784000,238.22,238.78,229.66,235.12,238.22,238.78,229.66,235.12,229.6375000000005,241.28262065197325,217.99237934802775,8609,8233.950000000017,8609,8233.950000000017,8609,8233.950000000017,8609,8233.950000000017,8609,8233.950000000017,233.90100559885903,232.7059715471302,233.08254814534902,240.94082901264574,2.1380920921725193,-1.2148317350898594,-3.3529238272623787,55.28856730559205,92.22359474203051,91.95072300504471,50.733811067638484,46.89725897739805,NaN,NaN,-0.024285714285781523
1430870400,235.18,235.94,227.01,228.49,235.18,235.94,227.01,228.49,229.6870000000005,241.30373809634298,218.070261903658,8572,8120.350000000018,8572,8120.350000000018,8572,8120.350000000018,8572,8120.350000000018,8572,8120.350000000018,232.69855991022368,232.10368989754016,232.66504376849912,240.49615654790838,1.505131248733146,-1.471509766345946,-2.976641015079092,47.11605322316796,75.13721022136144,87.55769495040245,45.504144994256755,46.83996343454271,NaN,NaN,-5.340952380952444
1430956800,228.34,240,227.35,236.87,228.34,240,227.35,236.87,230.40050000000048,241.94113512113003,218.85986487887092,11033,8274.550000000017,11033,8274.550000000017,11033,8274.550000000017,11033,8274.550000000017,11033,8274.550000000017,233.62554659684065,232.7845913407487,233.04731251681739,240.36665095691166,1.5914316781203377,-0.9873514174286697,-2.5787830955490074,48.332447943256255,72.54911046424286,79.9699718092116,52.209654948283536,47.11235960462547,NaN,NaN,4.99238095238087
1431043200,236.92,246.57,235.29,243.2,236.92,246.57,235.29,243.2,231.3905000000005,243.7286481187028,219.05235188129816,9465,8516.950000000017,9465,8516.950000000017,9465,8516.950000000017,9465,8516.950000000017,9465,8516.950000000017,235.75320290865383,234.27250686349888,233.97028410619762,240.46784199416481,1.9895737222614178,-0.09181594272223492,-2.0813896649836527,55.95477698676571,79.2033681056547,75.629896263753,56.55798659979921,47.99553858260621,NaN,NaN,12.672380952380848
1431129600,243.22,247.01,238.62,241.96,243.22,247.01,238.62,241.96,232.3615000000005,244.81682540719072,219.90617459281026,5427,8493.700000000017,5427,8493.700000000017,5427,8493.700000000017,5427,8493.700000000017,5427,8493.700000000017,237.1324911511752,235.37072016871332,234.6966219147251,240.52113335151608,2.0746664292396924,0.5119433715659625,-1.5627230576737297,60.41180928196208,94.44034222175988,82.06427359721914,55.49280939172071,49.00119522782435,NaN,NaN,12.792380952380853
1431216000,241.83,244.99,238.02,239.13,241.83,244.99,238.02,239.13,233.10300000000046,245.31368401028652,220.8923159897144,3461,8368.700000000017,3461,8368.700000000017,3461,8368.700000000017,3461,8368.700000000017,3461,8368.700000000017,237.5763820064696,235.90776014461142,235.09965628611374,240.47145001753336,1.8528865062248034,0.7533850751072748,-1.0995014311175286,64.17199257710554,89.57867967351456,87.74079666697638,53.03774758367563,50.12107106197533,NaN,NaN,10.884285714285596
1431302400,239.13,244.51,237.99,241.3,239.13,244.51,237.99,241.3,233.38100000000048,246.0632346610929,220.69876533890806,9641,8355.750000000018,9641,8355.750000000018,9641,8355.750000000018,9641,8355.750000000018,9641,8355.750000000018,238.4038526716986,236.67808012395264,235.66332389646703,240.50104108833574,1.7652560498195593,1.1070686311569204,-0.6581874186626389,63.08943041774112,85.03723322254713,89.68541837260717,54.692944020963076,50.86856393139463,NaN,NaN,13.39857142857133
1431388800,241.3,242,237.54,241.03,241.3,242,237.54,241.03,233.7600000000005,246.8735426181864,220.6464573818146,8360,8240.550000000017,8360,8240.550000000017,8360,8240.550000000017,8360,8240.550000000017,8360,8240.550000000017,238.98744096687668,237.29978296338797,236.15120354224277,240.51993247803804,1.60656313817822,1.350016504060136,-0.2565466341180839,63.307138416057875,81.60703781896306,85.40765023834159,54.43586038733066,51.69477274853567,NaN,NaN,13.366190476190354
